# ID  RA  DEC  [Fe/H]_K  [Fe/H]_K_e  K_mean  N_ep  Period  A_tot  C_phi  S/N    
 7682  17:44:53.96  -26:48:51.2  -1.191  0.048  14.766    62  0.521974  0.311  0.925  68.1
 7690  17:44:56.26  -25:35:07.4  -0.911  0.107  14.754    59  0.509575  0.261  0.923  52.7
 7693  17:44:56.46  -25:34:07.6  -1.244  0.084  14.751    60  0.476110  0.367  0.914  122.1
 7700  17:44:57.21  -32:16:50.4  -1.340  0.057  14.595    70  0.624128  0.190  0.917  51.0
 7706  17:44:58.70  -32:13:31.8  -1.239  0.052  14.846    68  0.578184  0.285  0.921  68.8
 7707  17:44:59.07  -31:46:30.6  -1.520  0.055  15.265    69  0.566301  0.297  0.922  55.0
 7710  17:44:59.88  -27:40:52.0  -1.609  0.099  15.182    64  0.491149  0.398  0.936  48.7
 7716  17:45:00.97  -27:38:47.4  -1.341  0.084  15.265    64  0.515627  0.439  0.892  48.5
 7717  17:45:01.02  -27:30:22.9  -1.372  0.076  15.254    51  0.501903  0.400  0.907  43.8
 7720  17:45:01.48  -26:14:46.1  -0.872  0.148  15.488    62  0.543552  0.218  0.926  42.2
 7724  17:45:02.07  -30:51:18.3  -1.247  0.065  15.010    63  0.545980  0.218  0.945  52.4
 7725  17:45:02.41  -31:46:21.7  -1.556  0.038  14.675    67  0.560688  0.265  0.947  68.5
 7726  17:45:02.64  -31:00:42.6  -0.711  0.110  15.385    43  0.463774  0.263  0.831  42.8
 7728  17:45:02.78  -31:42:30.2  -1.797  0.041  14.737    65  0.688798  0.317  0.942  83.2
 7730  17:45:03.45  -27:32:16.7  -1.186  0.027  15.269    61  0.553300  0.241  0.930  37.6
 7734  17:45:04.45  -32:25:53.8  -0.824  0.049  14.811    54  0.567568  0.202  0.932  42.9
 7738  17:45:05.47  -32:05:34.1  -1.449  0.103  15.179    60  0.512955  0.349  0.947  55.3
 7741  17:45:06.03  -32:11:09.8  -2.084  0.056  14.274    70  0.759354  0.355  0.938  119.9
 7745  17:45:07.44  -31:07:51.5  -1.418  0.031  14.393    69  0.644077  0.177  0.936  64.4
 7748  17:45:08.05  -28:03:46.9  -1.576  0.051  15.471    70  0.492384  0.313  0.953  58.3
 7751  17:45:08.45  -31:30:05.6  -1.618  0.057  14.817    52  0.579795  0.300  0.913  75.7
 7753  17:45:09.28  -31:56:21.8  -1.369  0.071  15.182   135  0.502252  0.418  0.959  65.7
 7762  17:45:11.08  -32:11:29.0  -1.427  0.043  14.404    70  0.675709  0.202  0.914  55.2
 7766  17:45:11.49  -31:28:30.5  -1.484  0.039  15.031    62  0.611939  0.230  0.943  59.6
 7767  17:45:11.77  -27:23:21.0  -1.498  0.095  15.401    61  0.549802  0.505  0.948  56.6
 7770  17:45:11.95  -31:45:14.6  -1.322  0.031  15.086    61  0.545534  0.262  0.939  51.7
 7773  17:45:12.69  -31:29:37.1  -1.401  0.042  14.950    68  0.556785  0.373  0.937  67.7
 7774  17:45:12.70  -27:23:34.1  -1.563  0.102  15.074    63  0.592442  0.333  0.936  39.8
 7778  17:45:13.22  -32:05:17.6  -1.303  0.032  15.531    68  0.471614  0.370  0.945  44.6
 7780  17:45:13.73  -27:27:38.7  -1.314  0.069  15.447    57  0.470281  0.352  0.928  35.0
 7787  17:45:14.67  -27:32:12.9  -2.153  0.046  14.673    63  0.811861  0.236  0.941  55.4
 7798  17:45:15.99  -31:25:14.5  -0.694  0.234  14.655    69  0.429988  0.145  0.922  49.0
 7802  17:45:16.68  -27:52:39.9  -1.821  0.069  14.704    69  0.765390  0.286  0.947  70.5
 7803  17:45:16.85  -30:53:47.4  -1.355  0.155  15.276    69  0.491537  0.309  0.952  61.6
 7807  17:45:17.64  -32:34:08.8  -1.613  0.131  15.513    68  0.528008  0.388  0.923  49.6
 7808  17:45:17.72  -32:55:07.4  -1.406  0.022  14.530    70  0.627307  0.288  0.943  94.8
 7810  17:45:18.18  -27:53:39.5  -1.449  0.058  15.319    71  0.474474  0.275  0.951  43.2
 7813  17:45:18.74  -27:19:02.0  -1.517  0.078  14.641    64  0.612139  0.194  0.937  43.4
 7820  17:45:19.44  -29:42:06.6  -0.501  0.052  14.632    76  0.497932  0.210  0.950  48.6
 7824  17:45:20.49  -31:02:11.7  -1.383  0.039  15.315    67  0.485026  0.217  0.886  36.3
 7827  17:45:20.71  -27:08:57.8  -0.752  0.127  14.622    50  0.538047  0.118  0.922  34.8
 7830  17:45:21.26  -31:18:28.2  -1.340  0.043  15.775    61  0.447557  0.364  0.946  42.9
 7832  17:45:21.30  -32:03:19.2  -1.525  0.052  15.354   112  0.529680  0.376  0.938  61.8
 7834  17:45:21.46  -31:49:23.7  -1.320  0.076  14.445    77  0.584209  0.254  0.937  45.4
 7838  17:45:21.94  -28:01:24.5  -1.283  0.094  15.423    70  0.442636  0.374  0.940  43.7
 7840  17:45:22.13  -24:48:26.9  -1.758  0.034  14.498    59  0.622190  0.346  0.901  89.4
 7841  17:45:22.45  -24:45:44.3  -1.588  0.037  14.095    61  0.724752  0.179  0.939  85.3
 7845  17:45:23.48  -32:01:13.7  -2.091  0.040  14.672    67  0.774520  0.279  0.926  97.4
 7846  17:45:23.65  -28:05:32.2  -1.386  0.020  14.586    80  0.516018  0.409  0.942  75.2
 7847  17:45:23.96  -28:02:00.4  -1.339  0.065  15.708    62  0.484991  0.336  0.926  45.3
 7855  17:45:25.03  -28:02:52.5  -1.639  0.033  15.363    72  0.699244  0.326  0.946  42.9
 7865  17:45:26.50  -27:24:08.6  -2.256  0.084  14.492    58  0.689675  0.225  0.897  56.4
 7867  17:45:26.62  -30:59:44.1  -1.445  0.043  15.483    63  0.508384  0.301  0.927  45.1
 7868  17:45:26.84  -25:50:34.2  -2.044  0.048  14.462    63  0.720904  0.244  0.937  90.1
 7869  17:45:26.91  -31:18:03.2  -1.344  0.070  15.418    66  0.453634  0.412  0.932  74.5
 7874  17:45:27.70  -31:15:48.0  -1.244  0.058  15.068    68  0.463206  0.303  0.925  70.9
 7878  17:45:28.25  -30:51:34.3  -1.209  0.062  15.131    51  0.571619  0.286  0.890  62.9
 7879  17:45:28.26  -28:18:50.8  -1.738  0.047  14.948    50  0.632589  0.322  0.933  57.0
 7889  17:45:30.21  -31:40:30.6  -1.979  0.065  15.259    58  0.615056  0.333  0.911  52.5
 7893  17:45:30.57  -31:54:36.0  -1.396  0.044  15.159   134  0.535491  0.467  0.950  61.1
 7901  17:45:31.48  -28:15:26.2  -1.808  0.059  14.892    76  0.673633  0.369  0.944  50.5
 7902  17:45:31.66  -31:08:29.1  -1.303  0.026  15.149    61  0.568663  0.289  0.909  77.7
 7905  17:45:31.93  -30:51:45.1  -1.303  0.031  15.304    59  0.545654  0.305  0.924  67.4
 7910  17:45:33.20  -32:34:40.8  -1.187  0.028  14.955    69  0.535218  0.256  0.938  64.5
 7914  17:45:34.16  -26:13:08.6  -1.200  0.031  14.648    60  0.590139  0.264  0.945  115.2
 7915  17:45:34.22  -27:56:39.4  -1.443  0.093  14.721    72  0.501245  0.177  0.926  54.9
 7916  17:45:34.35  -27:05:44.7  -1.307  0.153  14.796    57  0.476126  0.250  0.868  52.0
 7917  17:45:34.43  -30:54:23.9  -1.402  0.056  15.275    55  0.563036  0.360  0.886  82.6
 7920  17:45:35.07  -31:22:14.5  -1.905  0.103  14.405    42  0.757486  0.214  0.919  59.6
 7921  17:45:35.48  -31:56:23.0  -2.135  0.067  14.422    60  0.930505  0.221  0.896  114.2
 7922  17:45:35.53  -30:47:36.3  -1.242  0.018  15.169    58  0.592323  0.285  0.926  78.2
 7925  17:45:36.25  -31:11:43.1  -1.280  0.028  15.251    69  0.502698  0.356  0.910  55.2
 7933  17:45:37.75  -32:32:55.9  -1.313  0.032  15.235    69  0.613984  0.254  0.929  63.1
 7937  17:45:37.92  -25:58:23.0  -0.441  0.045  14.957    63  0.462793  0.270  0.925  44.2
 7939  17:45:38.39  -30:57:45.3  -1.199  0.089  15.323    67  0.515849  0.399  0.921  52.6
 7940  17:45:38.82  -25:49:20.6  -1.657  0.039  14.109    63  0.576983  0.328  0.948  170.3
 7943  17:45:39.09  -31:16:14.6  -0.993  0.105  13.686    51  0.577384  0.131  0.924  56.4
 7950  17:45:39.94  -31:40:24.9  -1.563  0.037  15.331    61  0.610038  0.331  0.911  63.4
 7955  17:45:40.81  -31:17:15.0  -0.777  0.044  15.304    55  0.473178  0.346  0.906  81.6
 7957  17:45:40.95  -32:06:03.6  -1.911  0.088  15.251   133  0.649148  0.274  0.945  52.3
 7962  17:45:41.46  -27:31:22.3  -1.352  0.026  15.149   123  0.535723  0.397  0.953  61.3
 7965  17:45:41.87  -25:51:32.0  -1.540  0.060  13.667    63  0.518166  0.146  0.935  102.1
 7967  17:45:42.28  -32:11:01.2  -1.260  0.062  14.839    55  0.480093  0.269  0.951  42.7
 7970  17:45:42.68  -32:17:32.4  -1.938  0.079  14.728    58  0.701405  0.255  0.860  73.4
 7973  17:45:42.73  -31:14:26.7  -1.487  0.069  14.600    69  0.459607  0.210  0.931  61.8
 7976  17:45:43.16  -26:56:58.3  -1.576  0.032  14.888    54  0.626996  0.258  0.911  46.0
 7982  17:45:44.48  -31:14:56.4  -1.435  0.074  15.471    59  0.528488  0.342  0.902  59.2
 7983  17:45:44.52  -30:46:01.8  -1.279  0.061  15.003    62  0.543411  0.234  0.905  39.9
 7989  17:45:45.31  -31:56:59.2  -1.364  0.018  14.630    61  0.549191  0.275  0.937  85.5
 7994  17:45:45.66  -31:16:54.8  -1.425  0.051  14.803    61  0.665562  0.162  0.925  50.8
 7996  17:45:45.73  -21:28:04.7  -1.795  0.037  13.613    62  0.710832  0.265  0.932  191.2
 7998  17:45:45.80  -31:25:33.7  -1.407  0.031  15.088    69  0.478665  0.327  0.940  72.8
 7999  17:45:45.85  -32:31:13.8  -1.214  0.085  15.111    48  0.508272  0.367  0.923  90.5
 8001  17:45:46.05  -32:09:25.0  -1.413  0.065  15.116    70  0.599366  0.327  0.889  52.1
 8002  17:45:46.16  -31:17:07.0  -1.932  0.069  14.902    64  0.634650  0.310  0.922  90.9
 8010  17:45:47.15  -30:34:25.2  -1.487  0.045  15.383    56  0.541212  0.322  0.927  54.8
 8011  17:45:47.40  -28:49:11.5  -0.196  0.075  14.022    77  0.378800  0.153  0.945  52.4
 8019  17:45:48.57  -30:35:41.6  -1.003  0.093  15.774    65  0.476632  0.297  0.941  42.3
 8021  17:45:48.82  -30:59:50.1  -1.368  0.037  15.071    69  0.581059  0.271  0.930  58.0
 8025  17:45:49.49  -30:58:23.5  -1.450  0.064  15.125    68  0.536891  0.356  0.933  59.6
 8027  17:45:50.00  -32:09:49.3  -1.172  0.048  15.129    64  0.460125  0.400  0.899  102.4
 8029  17:45:50.56  -30:49:50.1  -1.669  0.066  14.973    48  0.685471  0.342  0.932  74.9
 8033  17:45:50.98  -27:14:52.2  -1.752  0.064  14.695    64  0.555939  0.239  0.912  57.5
 8035  17:45:51.78  -31:36:14.6  -1.397  0.042  14.751    69  0.654375  0.199  0.939  51.4
 8036  17:45:51.89  -27:08:25.9  -1.264  0.094  14.934    64  0.569678  0.385  0.920  56.3
 8037  17:45:51.95  -31:45:49.6  -1.325  0.066  15.316   115  0.516400  0.344  0.961  70.2
 8040  17:45:52.25  -31:15:11.9  -1.010  0.138  14.937    69  0.525733  0.253  0.931  45.1
 8041  17:45:52.37  -31:57:07.2  -1.834  0.085  14.495    68  0.569527  0.233  0.936  63.6
 8043  17:45:52.70  -24:22:09.3  -1.481  0.034  13.830    57  0.581475  0.240  0.890  101.8
 8047  17:45:53.35  -27:46:46.0  -1.438  0.087  15.299    79  0.506908  0.200  0.952  35.0
 8056  17:45:54.80  -31:13:35.1  -1.341  0.042  15.212    58  0.547983  0.265  0.937  64.3
 8060  17:45:55.21  -25:51:08.1  -1.535  0.061  14.754    63  0.508499  0.315  0.913  42.8
 8065  17:45:55.72  -32:11:04.2  -1.624  0.025  14.551    70  0.689275  0.245  0.945  72.7
 8067  17:45:55.92  -30:57:18.7  -1.815  0.057  15.017    69  0.600294  0.365  0.930  51.5
 8068  17:45:56.10  -30:39:33.0  -0.990  0.081  15.012    54  0.539694  0.228  0.917  53.5
 8072  17:45:56.23  -27:14:41.6  -1.780  0.060  14.777    64  0.599536  0.235  0.944  65.8
 8074  17:45:57.11  -31:50:42.8  -1.343  0.058  15.458    64  0.538666  0.341  0.926  52.4
 8077  17:45:57.43  -32:02:37.9  -1.428  0.059  14.826    69  0.611210  0.204  0.939  45.4
 8080  17:45:57.97  -27:15:27.2  -1.929  0.059  14.574    62  0.718274  0.273  0.933  81.5
 8083  17:45:58.48  -31:37:03.3  -1.595  0.042  15.060   115  0.496103  0.275  0.958  68.7
 8089  17:45:59.88  -32:20:31.9  -1.406  0.025  14.750    70  0.674243  0.202  0.938  57.3
 8092  17:46:00.44  -30:31:06.1  -1.621  0.039  15.661    66  0.583739  0.390  0.940  60.3
 8096  17:46:01.47  -27:19:07.0  -1.382  0.018  14.287    62  0.507629  0.290  0.929  118.7
 8100  17:46:01.94  -30:41:57.2  -1.384  0.058  15.663    65  0.465976  0.311  0.921  49.7
 8104  17:46:02.53  -27:09:56.1  -1.259  0.046  15.047    64  0.549475  0.337  0.923  60.1
 8106  17:46:03.14  -33:13:52.2  -1.526  0.032  14.315    59  0.713142  0.199  0.910  98.7
 8109  17:46:03.48  -31:34:25.8  -0.747  0.099  15.380    66  0.465455  0.280  0.924  41.2
 8113  17:46:04.03  -31:19:39.1  -1.479  0.056  14.978    61  0.623279  0.346  0.915  99.1
 8115  17:46:04.57  -31:59:01.8  -1.444  0.077  14.850    60  0.544708  0.249  0.909  69.2
 8121  17:46:06.08  -24:27:07.5  -1.562  0.103  14.695    61  0.529761  0.212  0.931  86.9
 8122  17:46:06.10  -31:09:48.7  -1.103  0.080  15.510    66  0.443342  0.447  0.889  59.4
 8124  17:46:06.70  -30:42:39.8  -1.227  0.053  15.337    69  0.546336  0.234  0.938  49.3
 8129  17:46:08.05  -32:17:50.7  -1.616  0.094  14.342    70  0.601307  0.152  0.936  65.9
 8140  17:46:09.79  -30:03:04.3  -1.328  0.042  15.483    56  0.543968  0.398  0.904  47.4
 8145  17:46:10.56  -30:54:21.3  -1.270  0.025  15.146    63  0.509806  0.448  0.933  73.5
 8147  17:46:10.67  -31:41:39.3  -1.116  0.131  15.240   132  0.489964  0.291  0.958  63.5
 8152  17:46:11.22  -31:11:05.5  -1.352  0.042  14.886    67  0.577408  0.309  0.922  84.8
 8153  17:46:11.30  -32:06:22.9  -1.178  0.137  15.073    34  0.474057  0.310  0.918  70.3
 8154  17:46:11.68  -28:02:56.2  -1.497  0.094  15.395    74  0.618318  0.398  0.947  46.8
 8161  17:46:13.21  -27:36:56.4  -1.949  0.066  15.092    76  0.716425  0.305  0.948  37.9
 8164  17:46:14.01  -31:43:08.1  -1.241  0.054  15.086    69  0.459507  0.424  0.932  91.4
 8169  17:46:15.14  -27:51:19.8  -2.350  0.067  14.592    79  0.867180  0.217  0.955  66.6
 8171  17:46:15.53  -30:58:45.9  -1.401  0.039  15.094    61  0.474088  0.236  0.917  80.1
 8173  17:46:15.70  -31:34:18.0  -1.190  0.073  14.982   132  0.527711  0.295  0.956  82.5
 8176  17:46:16.06  -30:34:06.3  -1.423  0.088  15.104    62  0.524712  0.208  0.933  46.4
 8177  17:46:16.22  -24:23:12.4  -1.369  0.063  14.736    61  0.602916  0.186  0.917  57.1
 8179  17:46:16.37  -26:16:26.1  -1.339  0.064  15.238    62  0.476096  0.360  0.906  57.3
 8180  17:46:16.64  -27:37:35.9  -1.437  0.099  15.427    75  0.511956  0.323  0.920  47.9
 8181  17:46:16.77  -28:37:29.6  -0.629  0.147  13.882    75  0.465816  0.128  0.956  42.3
 8182  17:46:17.30  -27:13:02.5  -1.420  0.205  14.654    63  0.444298  0.204  0.911  55.3
 8183  17:46:17.56  -24:22:38.5  -1.583  0.070  15.093    56  0.650473  0.271  0.887  64.4
 8184  17:46:17.60  -31:18:10.8  -0.996  0.070  15.105    58  0.541645  0.315  0.936  66.3
 8186  17:46:17.64  -32:30:23.6  -1.441  0.015  14.997    69  0.566599  0.361  0.933  83.0
 8190  17:46:18.12  -32:10:41.2  -1.222  0.027  14.787   133  0.598476  0.220  0.902  81.9
 8191  17:46:18.12  -31:45:53.7  -1.333  0.139  15.231    67  0.474696  0.316  0.942  49.1
 8192  17:46:18.15  -32:16:14.7  -2.013  0.063  15.010    59  0.670857  0.437  0.927  100.5
 8194  17:46:18.39  -32:56:19.2  -1.094  0.214  14.758    67  0.478488  0.276  0.922  81.8
 8196  17:46:18.65  -31:23:18.6  -1.328  0.034  14.850    69  0.486557  0.321  0.904  61.8
 8200  17:46:18.96  -25:36:05.7  -1.192  0.062  13.830    56  0.635690  0.152  0.837  40.6
 8201  17:46:19.15  -31:26:00.2  -0.884  0.066  14.822    63  0.556321  0.143  0.942  43.1
 8202  17:46:19.21  -31:44:27.3  -1.888  0.089  14.919    65  0.722127  0.278  0.904  72.7
 8204  17:46:19.64  -24:41:20.4  -0.584  0.064  14.928    57  0.458751  0.258  0.910  74.6
 8205  17:46:19.83  -32:58:38.0  -1.092  0.105  14.917    64  0.544233  0.214  0.929  64.4
 8206  17:46:20.00  -30:50:09.0  -1.113  0.136  14.769    43  0.493720  0.243  0.836  58.6
 8208  17:46:20.48  -32:35:56.7  -1.510  0.088  14.773    63  0.571416  0.268  0.898  64.7
 8211  17:46:21.01  -31:52:14.6  -1.356  0.120  14.152    68  0.432785  0.199  0.895  60.2
 8214  17:46:21.12  -27:52:33.8  -0.905  0.064  14.163    82  0.568641  0.142  0.916  59.3
 8218  17:46:21.93  -30:43:23.6  -1.238  0.025  14.994    61  0.599022  0.212  0.926  65.0
 8219  17:46:22.02  -28:11:05.0  -2.286  0.138  14.911    75  0.836318  0.289  0.924  44.0
 8224  17:46:22.71  -25:51:15.9  -1.356  0.018  14.535    63  0.541511  0.297  0.933  92.4
 8228  17:46:23.33  -31:09:00.2  -1.106  0.139  14.982    48  0.491969  0.213  0.910  41.8
 8232  17:46:23.82  -27:24:30.7  -1.319  0.046  15.111   137  0.540681  0.364  0.969  70.3
 8236  17:46:24.45  -31:03:58.2  -1.914  0.070  15.139    49  0.646673  0.416  0.901  81.1
 8237  17:46:24.62  -32:06:46.8  -1.327  0.248  13.969    69  0.482022  0.117  0.939  48.0
 8239  17:46:24.96  -33:14:07.0  -1.276  0.100  15.116    70  0.481463  0.365  0.947  72.6
 8243  17:46:25.58  -28:04:21.8  -1.647  0.173  14.608    75  0.637964  0.153  0.944  49.9
 8244  17:46:25.60  -31:27:16.8  -1.341  0.026  15.348   112  0.547204  0.459  0.963  102.0
 8246  17:46:26.29  -21:02:05.2  -1.289  0.028  14.390   120  0.584404  0.314  0.944  120.9
 8247  17:46:26.33  -27:35:21.3  -2.000  0.039  14.936    72  0.761672  0.234  0.903  62.0
 8248  17:46:26.55  -30:37:31.3  -2.255  0.071  14.639    64  0.771460  0.237  0.959  59.5
 8250  17:46:26.66  -30:59:39.5  -1.368  0.093  15.159    69  0.439013  0.357  0.943  73.5
 8252  17:46:27.11  -27:37:18.0  -1.403  0.038  15.118    81  0.608739  0.214  0.950  37.8
 8266  17:46:28.68  -31:00:36.8  -1.765  0.078  14.988    67  0.658082  0.311  0.936  71.6
 8276  17:46:30.11  -31:17:07.6  -1.394  0.074  14.837    54  0.605073  0.266  0.860  73.7
 8279  17:46:30.65  -31:35:47.3  -1.399  0.069  15.213   136  0.593136  0.228  0.940  43.7
 8281  17:46:30.66  -31:19:10.0  -1.354  0.055  14.907    53  0.496256  0.288  0.928  76.9
 8284  17:46:31.03  -32:23:05.9  -1.513  0.031  15.135    63  0.558281  0.324  0.884  72.0
 8286  17:46:31.82  -31:18:31.4  -1.347  0.062  14.906    69  0.576796  0.340  0.937  99.8
 8287  17:46:32.07  -27:05:58.9  -1.242  0.042  14.620    56  0.567619  0.307  0.919  61.4
 8296  17:46:33.08  -27:30:53.6  -1.608  0.037  15.259    78  0.584638  0.327  0.951  80.6
 8300  17:46:33.62  -31:01:38.6  -1.366  0.017  15.248    55  0.489406  0.335  0.924  70.1
 8301  17:46:33.77  -30:10:25.7  -1.432  0.037  15.431    58  0.616220  0.321  0.922  53.6
 8304  17:46:34.26  -30:41:50.2  -1.967  0.038  14.929    63  0.679775  0.335  0.916  73.9
 8311  17:46:35.07  -30:48:23.4  -1.568  0.057  14.984    53  0.568632  0.243  0.921  67.3
 8312  17:46:35.27  -29:22:33.3  -0.446  0.100  12.489    88  0.469346  0.146  0.955  87.2
 8315  17:46:35.45  -27:32:19.7  -0.619  0.335  15.462    76  0.439923  0.199  0.949  37.1
 8321  17:46:36.35  -31:47:29.6  -1.069  0.095  15.093    65  0.532783  0.230  0.940  45.4
 8323  17:46:36.52  -27:21:08.0  -1.597  0.123  14.777   115  0.597587  0.177  0.948  58.3
 8325  17:46:36.98  -30:37:51.5  -1.292  0.167  14.734    69  0.509143  0.187  0.952  57.1
 8327  17:46:37.08  -27:07:43.8  -1.383  0.026  14.623    63  0.550957  0.277  0.938  61.6
 8331  17:46:37.69  -27:34:51.5  -1.966  0.086  15.094    79  0.743375  0.223  0.947  46.5
 8333  17:46:37.93  -27:51:33.4  -2.141  0.154  14.954    81  0.967554  0.186  0.937  45.3
 8341  17:46:39.62  -31:39:14.5  -0.882  0.242  15.206    69  0.468710  0.238  0.920  44.4
 8346  17:46:40.59  -31:41:38.8  -0.611  0.125  15.573    48  0.464736  0.239  0.908  41.8
 8348  17:46:40.82  -31:48:41.9  -1.401  0.023  14.944    59  0.635209  0.272  0.928  92.2
 8352  17:46:41.60  -32:17:55.9  -1.389  0.027  14.990    59  0.529335  0.283  0.899  78.0
 8353  17:46:41.62  -31:32:08.0  -1.214  0.053  14.679   138  0.596579  0.252  0.963  76.7
 8362  17:46:43.36  -28:09:56.3  -2.202  0.092  13.897    81  0.754599  0.139  0.940  46.3
 8365  17:46:43.49  -30:11:31.1  -1.327  0.029  15.042    49  0.559138  0.255  0.914  65.7
 8366  17:46:43.59  -27:30:15.0  -1.521  0.100  15.081    57  0.509694  0.296  0.943  46.4
 8369  17:46:44.22  -24:24:09.3  -1.311  0.068  14.422    40  0.615788  0.219  0.886  54.1
 8371  17:46:44.31  -32:00:26.5  -0.745  0.068  15.570    67  0.422694  0.369  0.942  50.2
 8373  17:46:44.54  -26:54:28.6  -1.519  0.067  14.454    63  0.638713  0.199  0.937  37.3
 8377  17:46:45.18  -27:34:49.3  -1.338  0.075  15.167    80  0.634897  0.258  0.946  39.5
 8379  17:46:45.28  -32:01:59.3  -1.247  0.032  14.806    68  0.585510  0.282  0.938  77.7
 8381  17:46:45.89  -30:21:25.5  -1.395  0.029  15.175    60  0.567260  0.375  0.941  45.3
 8383  17:46:45.97  -30:45:47.2  -1.609  0.041  15.154    64  0.577141  0.285  0.940  66.7
 8386  17:46:46.86  -26:48:38.3  -1.427  0.052  15.182    62  0.497567  0.458  0.940  60.7
 8389  17:46:47.21  -31:32:24.7  -1.310  0.054  15.919    63  0.463289  0.472  0.909  57.5
 8390  17:46:47.62  -32:23:03.6  -1.369  0.031  15.863    62  0.469867  0.315  0.936  49.3
 8395  17:46:48.54  -30:43:15.8  -1.369  0.041  15.049    62  0.579585  0.324  0.935  72.2
 8397  17:46:49.04  -27:19:05.3  -0.617  0.074  15.215    76  0.460593  0.322  0.936  37.9
 8399  17:46:49.64  -32:00:19.9  -1.423  0.026  15.043    69  0.540244  0.280  0.910  39.2
 8403  17:46:50.16  -30:42:09.4  -1.215  0.036  15.154    64  0.542343  0.273  0.942  38.2
 8418  17:46:52.92  -32:24:45.7  -1.244  0.033  15.780    65  0.529696  0.261  0.943  41.8
 8426  17:46:54.87  -30:30:44.3  -1.743  0.056  13.869    60  0.643519  0.307  0.931  108.2
 8435  17:46:56.50  -30:28:01.0  -1.889  0.047  15.602    58  0.619725  0.464  0.904  53.3
 8438  17:46:56.95  -31:35:17.1  -1.215  0.078  15.244    68  0.549503  0.282  0.905  46.4
 8439  17:46:56.97  -26:43:40.3  -1.934  0.021  14.417    63  0.623533  0.347  0.940  102.8
 8440  17:46:57.11  -32:26:21.9  -1.363  0.034  14.914    70  0.611541  0.352  0.943  105.2
 8442  17:46:57.35  -31:49:52.4  -1.336  0.041  15.538    68  0.507392  0.443  0.948  81.3
 8446  17:46:57.91  -26:48:14.6  -1.391  0.058  14.403    63  0.502619  0.186  0.936  51.9
 8447  17:46:58.01  -32:02:53.0  -0.546  0.117  15.215    67  0.498364  0.269  0.927  55.1
 8448  17:46:58.20  -30:52:08.3  -1.195  0.068  15.102    67  0.542645  0.270  0.911  57.3
 8451  17:46:58.99  -26:08:16.4  -1.379  0.057  14.328    61  0.665933  0.217  0.889  108.1
 8452  17:46:59.02  -28:01:44.5  -1.304  0.061  15.269    75  0.638616  0.323  0.950  35.4
 8455  17:46:59.36  -26:15:52.1  -1.373  0.034  14.502    61  0.473834  0.295  0.942  105.4
 8456  17:46:59.59  -26:50:56.8  -1.351  0.030  14.738    63  0.622736  0.259  0.936  61.5
 8457  17:46:59.74  -32:18:51.1  -1.299  0.047  15.273    70  0.527034  0.397  0.939  69.2
 8460  17:47:00.10  -29:00:16.8  -2.315  0.089  15.120    80  0.776326  0.283  0.939  58.1
 8472  17:47:01.67  -30:59:47.6  -1.267  0.040  14.867    66  0.582554  0.222  0.934  61.1
 8475  17:47:02.22  -31:39:52.9  -1.862  0.031  14.770    67  0.636031  0.327  0.918  80.7
 8476  17:47:02.37  -31:40:04.1  -1.228  0.077  15.175    68  0.426740  0.266  0.944  48.8
 8480  17:47:03.30  -32:16:46.8  -0.512  0.081  15.030   122  0.493578  0.228  0.954  51.8
 8486  17:47:03.91  -30:55:28.2  -1.662  0.033  14.375    69  0.722141  0.290  0.945  123.0
 8488  17:47:04.27  -27:20:57.5  -1.234  0.113  14.605    77  0.584285  0.156  0.910  37.2
 8489  17:47:04.44  -32:25:13.3  -1.164  0.070  14.922    70  0.544858  0.273  0.922  69.9
 8493  17:47:05.64  -32:17:26.4  -1.340  0.030  15.260   132  0.476496  0.401  0.955  74.2
 8494  17:47:05.95  -30:51:49.1  -1.335  0.049  15.077    68  0.430700  0.321  0.937  65.8
 8498  17:47:06.81  -31:39:48.7  -2.047  0.044  15.306    68  0.822876  0.280  0.928  64.4
 8500  17:47:07.35  -30:26:54.2  -1.359  0.043  15.524    59  0.487664  0.388  0.942  44.2
 8502  17:47:07.87  -30:51:48.1  -1.286  0.031  14.901    58  0.605602  0.237  0.909  67.2
 8504  17:47:08.19  -30:17:06.0  -1.259  0.047  15.531    56  0.454303  0.432  0.944  46.3
 8511  17:47:09.31  -32:11:39.6  -1.251  0.056  15.350    58  0.470907  0.315  0.912  50.7
 8512  17:47:09.35  -31:16:33.7  -1.220  0.055  15.366   130  0.470133  0.356  0.954  55.9
 8513  17:47:09.73  -27:38:17.3  -1.579  0.076  15.159    78  0.735812  0.202  0.956  42.6
 8514  17:47:09.81  -31:13:00.7  -1.180  0.046  14.799   122  0.542798  0.257  0.964  48.2
 8517  17:47:10.36  -31:35:51.4  -1.303  0.117  15.095    59  0.458480  0.303  0.898  50.6
 8518  17:47:10.56  -25:19:59.7  -1.480  0.033  14.861    59  0.663870  0.227  0.866  72.8
 8519  17:47:10.61  -32:24:49.2  -1.375  0.046  14.860    70  0.607958  0.214  0.892  69.9
 8523  17:47:11.47  -32:27:21.6  -1.352  0.018  14.382    70  0.549510  0.323  0.903  159.5
 8524  17:47:11.48  -30:34:58.2  -1.760  0.087  14.640    57  0.644040  0.265  0.932  49.3
 8533  17:47:12.58  -31:30:37.5  -1.525  0.048  15.140    68  0.522979  0.355  0.924  81.7
