# ID  RA  DEC  [Fe/H]_K  [Fe/H]_K_e  K_mean  N_ep  Period  A_tot  C_phi  S/N    
  462  17:16:31.66  -36:15:36.4  -1.463  0.031  15.170    66  0.530482  0.283  0.939  95.8
  466  17:16:32.97  -35:25:40.3  -0.973  0.110  15.422    66  0.420877  0.327  0.935  49.3
  471  17:16:38.26  -35:28:37.4  -1.194  0.028  14.722    66  0.603886  0.209  0.950  80.7
  472  17:16:38.35  -35:57:27.1  -1.497  0.053  15.104    66  0.552099  0.385  0.942  100.2
  474  17:16:40.52  -32:29:45.9  -1.394  0.042  14.705    70  0.492839  0.321  0.932  110.3
  481  17:16:43.09  -35:32:24.6  -1.543  0.090  15.124    62  0.548731  0.216  0.939  54.8
  483  17:16:43.99  -35:33:17.5  -1.325  0.062  15.795    65  0.489565  0.353  0.916  52.0
  485  17:16:44.98  -34:35:58.4  -1.298  0.040  14.941    65  0.455317  0.320  0.904  91.0
  489  17:16:46.93  -35:56:06.2  -1.271  0.019  15.214    66  0.561083  0.259  0.949  78.8
  493  17:16:48.70  -31:17:18.6  -1.522  0.041  15.032    64  0.689471  0.276  0.950  86.9
  498  17:16:51.53  -35:55:29.7  -1.340  0.015  14.835    65  0.608853  0.244  0.935  96.1
  500  17:16:52.00  -33:45:34.2  -1.077  0.268  14.387    65  0.483827  0.140  0.935  70.0
  503  17:16:54.21  -34:11:18.4  -1.373  0.053  14.998    65  0.694224  0.222  0.931  81.6
  504  17:16:54.53  -31:52:56.7  -1.496  0.036  14.230    70  0.563237  0.277  0.900  127.4
  510  17:16:59.30  -35:53:43.3  -1.295  0.053  15.736    65  0.527125  0.330  0.932  47.3
  511  17:17:00.47  -36:04:35.5  -1.386  0.020  14.763    66  0.477899  0.346  0.895  95.7
  516  17:17:02.92  -35:42:43.1  -1.992  0.024  14.819    66  0.716818  0.321  0.941  103.5
  517  17:17:03.81  -34:31:58.9  -1.332  0.061  15.002    50  0.550379  0.354  0.932  86.9
  521  17:17:05.80  -34:03:17.9  -1.621  0.105  13.870    65  0.823452  0.139  0.933  76.6
  523  17:17:07.11  -32:34:58.8  -1.282  0.018  14.824    70  0.588196  0.268  0.924  97.1
  524  17:17:07.18  -34:41:26.8  -1.363  0.028  14.567    65  0.580908  0.353  0.918  159.1
  525  17:17:07.64  -31:53:25.3  -2.459  0.091  13.998    70  0.927663  0.256  0.940  178.9
  526  17:17:08.53  -34:46:07.8  -1.243  0.027  15.031    62  0.582385  0.226  0.942  78.3
  531  17:17:13.56  -33:36:39.6  -0.533  0.083  15.447    65  0.467056  0.327  0.934  75.9
  534  17:17:15.60  -31:16:15.0  -1.288  0.020  14.189    70  0.634816  0.213  0.935  149.5
  537  17:17:16.78  -35:01:13.8  -1.277  0.048  14.944    65  0.543953  0.235  0.927  52.0
  539  17:17:18.91  -35:41:38.6  -1.454  0.033  15.401    63  0.652192  0.248  0.934  58.7
  540  17:17:20.10  -36:33:10.6  -0.640  0.157  14.923    66  0.428014  0.189  0.948  48.0
  543  17:17:24.41  -33:26:47.5  -1.211  0.025  14.747    58  0.616635  0.219  0.926  61.5
  547  17:17:27.88  -35:44:50.4  -2.023  0.061  15.463    62  0.708573  0.310  0.913  67.7
  549  17:17:27.95  -34:40:46.6  -1.330  0.035  15.285    57  0.542570  0.331  0.873  66.3
  551  17:17:30.44  -31:17:06.8  -1.324  0.029  15.109    70  0.511949  0.325  0.934  84.9
  555  17:17:35.90  -35:51:59.8  -1.335  0.022  15.530    66  0.525177  0.386  0.934  69.5
  556  17:17:36.06  -33:35:23.3  -1.245  0.092  14.826    65  0.517455  0.282  0.893  65.4
  560  17:17:37.38  -33:20:01.3  -1.345  0.037  14.999    64  0.684776  0.176  0.936  58.8
  561  17:17:37.80  -35:02:50.0  -1.306  0.019  15.131    66  0.536739  0.342  0.953  91.8
  562  17:17:37.90  -35:36:58.5  -1.298  0.022  15.030    66  0.606206  0.291  0.926  85.9
  563  17:17:38.10  -36:48:19.0  -1.474  0.035  15.173    59  0.551221  0.307  0.925  69.9
  567  17:17:43.79  -33:40:19.4  -0.816  0.068  15.648    63  0.441335  0.244  0.936  50.7
  568  17:17:45.27  -36:35:27.7  -1.381  0.064  13.839   130  0.681787  0.130  0.963  78.5
  570  17:17:45.93  -34:03:49.3  -1.319  0.026  13.580    65  0.617822  0.224  0.942  118.0
  576  17:17:49.13  -33:25:27.2  -1.417  0.037  13.981    69  0.476265  0.243  0.942  136.4
  577  17:17:50.19  -31:03:37.6  -1.386  0.032  14.951    70  0.613871  0.255  0.856  71.3
  578  17:17:51.65  -34:41:01.6  -1.154  0.074  15.804   121  0.493965  0.407  0.964  57.3
  579  17:17:51.88  -35:41:14.9  -2.133  0.043  14.645    66  0.691542  0.320  0.937  143.0
  581  17:17:53.99  -34:32:54.7  -0.948  0.147  15.126    57  0.502571  0.257  0.885  52.6
  582  17:17:54.31  -34:30:28.3  -1.344  0.032  15.189    65  0.573628  0.299  0.918  65.8
  586  17:17:56.33  -36:17:44.4  -1.510  0.090  15.708    66  0.516937  0.304  0.899  47.5
  587  17:17:56.47  -35:41:48.1  -1.769  0.046  15.251    66  0.595413  0.293  0.948  71.1
  591  17:18:00.21  -34:38:22.4  -1.430  0.064  15.471   115  0.490636  0.311  0.959  56.8
  594  17:18:01.56  -35:06:31.4  -1.471  0.054  15.003    66  0.523564  0.335  0.905  120.6
  596  17:18:02.89  -35:01:07.0  -1.534  0.045  15.106    66  0.561447  0.329  0.946  95.4
  597  17:18:03.60  -35:31:40.1  -1.321  0.125  14.752    66  0.508924  0.172  0.927  45.2
  603  17:18:04.73  -35:39:53.7  -1.598  0.084  14.534    66  0.509753  0.307  0.948  41.5
  607  17:18:06.79  -36:27:46.9  -1.323  0.031  15.466   126  0.506819  0.305  0.957  59.9
